SZN,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CPOE,EPA/DB,YPG(t),paYPG,ruYPG,recYPG,RYOE,FPOE,aFPOE,PROJ,CSTY%,CL
2025,9486,Dontayvion Wicks,WR,24.5,GB,83,83,83,75.8,60.8,45.8,14,14,7,871,408,0,0.0%,0,0,0,0,0,0,0.00,6,0,0,0,0.00,0.00,30,265,2,19,2,46,67,332,11.1,7.2,1,0,0,338,0,0,6,6,46.8%,NA,NA,NA,0,NA,21,47,0.447,1.5,222,9.4%,1.50,0,NA,NA,NA,NA,NA,0.086,0,338,NA,NA,24.1,0.0,0.4,23.7,NA,0.0,0.4,71.5,7%,14.7
2025,12455,Brashard Smith,RB,22.7,KC,62,67,70,63.3,50.8,38.3,17,17,1,1049,157,1,0.0%,0,0,0,0,0,0,0.00,151,0,0,0,0.00,0.00,25,-60,1,6,1,35,232,172,6.9,4.9,44,0,5,323,0,102,151,3.43,15.0%,24,2.33,0.545,5,0.778,12,79,0.152,0.7,NA,6.0%,NA,0,NA,NA,NA,NA,NA,NA,0,323,NA,NA,19.0,0.0,8.9,10.1,12.0,0.0,-0.1,62.5,6%,10.1
2025,9494,Marvin Mims,WR,23.7,DEN,66,67,72,93,74.5,56,15,15,4,1020,360,2,0.0%,0,0,0,0,0,0,0.00,78,0,0,0,0.00,0.00,37,91,1,13,1,51,231,322,8.7,6.3,12,1,2,400,1,0,78,6.5,35.3%,NA,NA,NA,3,NA,17,63,0.270,1.1,262,8.3%,1.23,0,NA,NA,NA,NA,NA,0.050,0,400,NA,NA,26.7,0.0,5.2,21.5,NA,0.0,-0.9,106.0,13%,15.6
2025,9511,Keaton Mitchell,RB,23.9,BAL,66,66,64,55.4,50.9,46.4,13,13,0,745,125,1,0.0%,0,0,0,0,0,0,0.00,341,0,0,0,0.00,0.00,9,-22,1,2,0,12,85,63,7.0,5.3,59,2,15,404,1,228,341,5.78,16.8%,13,3.87,0.220,16,0.607,18,71,0.254,1.4,NA,2.8%,NA,0,NA,NA,NA,NA,NA,NA,0,404,NA,NA,31.1,0.0,26.2,4.8,95.0,0.0,0.3,51.0,0%,8.7
2025,4035,Alvin Kamara,RB,30.4,NO,46,50,53,100.7,84.2,67.7,11,11,11,725,457,2,0.0%,0,0,0,0,0,0,0.00,471,0,0,0,0.00,0.00,33,-16,2,7,0,39,202,186,5.6,4.8,131,7,20,657,1,394,471,3.6,63.0%,32,3.00,0.244,21,0.545,28,170,0.165,2.5,NA,6.6%,NA,0,NA,NA,NA,NA,NA,NA,0,657,NA,NA,59.7,0.0,42.8,16.9,-29.0,0.0,-4.4,158.4,36%,14.7
2025,4199,Aaron Jones,RB,31.0,MIN,41,43,44,118.7,104.7,90.7,16,12,12,664,366,2,0.0%,0,0,0,0,0,0,0.00,548,0,0,0,0.00,0.00,28,-28,2,8,1,41,227,199,7.1,4.9,132,5,26,747,2,370,548,4.15,55.1%,26,2.80,0.197,28,0.477,37,173,0.214,3.1,NA,8.5%,NA,0,NA,NA,NA,NA,NA,NA,0,747,NA,NA,62.3,0.0,45.7,16.6,84.0,0.0,-1.4,137.1,25%,15.6
2025,8205,Isiah Pacheco,RB,26.8,KC,56,55,52,87.3,77.8,68.3,13,13,12,823,424,0,0.0%,0,0,0,0,0,0,0.00,462,0,0,0,0.00,0.00,19,-20,3,3,1,26,121,101,5.3,3.9,118,2,26,563,1,355,462,3.92,51.5%,22,3.00,0.186,27,0.487,31,144,0.215,2.4,NA,4.5%,NA,0,NA,NA,NA,NA,NA,NA,0,563,NA,NA,43.3,0.0,35.5,7.8,14.0,0.0,-1.6,108.4,23%,12.9
2025,7002,Juwan Johnson,TE,29.2,NO,8,10,12,179.9,141.4,102.9,17,17,10,1056,799,2,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,77,527,6,38,3,102,362,889,11.6,8.7,0,0,0,889,0,0,0,0,75.7%,NA,NA,NA,0,NA,41,102,0.402,2.4,501,17.3%,1.77,0,NA,NA,NA,NA,NA,0.076,0,889,NA,NA,52.3,0.0,0.0,52.3,NA,0.0,0.6,171.1,47%,17.3
2025,8154,Brian Robinson,RB,26.7,SF,63,61,58,62.5,58.5,54.5,17,17,0,1123,190,0,0.0%,0,0,0,0,0,0,0.00,400,0,0,0,0.00,0.00,8,-10,0,1,0,12,35,25,3.1,2.1,92,10,18,425,2,323,400,4.35,16.9%,21,3.51,0.228,20,0.579,21,104,0.202,1.2,NA,2.1%,NA,0,NA,NA,NA,NA,NA,NA,0,425,NA,NA,25.0,0.0,23.5,1.5,39.0,0.0,-0.2,65.0,0%,9.4
2025,9502,Tank Dell,WR,26.1,HOU,1122,1121,1120,0,0,0,17,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA
2025,9501,Demario Douglas,WR,25.0,NE,65,64,61,95.8,80.3,64.8,17,17,0,1035,273,0,0.0%,0,0,0,0,0,0,0.00,21,0,0,0,0.00,0.00,31,233,2,14,3,46,214,447,14.4,9.7,7,0,2,468,0,0,21,3,26.4%,NA,NA,NA,2,NA,19,53,0.358,1.1,205,9.2%,2.18,0,NA,NA,NA,NA,NA,0.068,0,468,NA,NA,27.5,0.0,1.2,26.3,NA,0.0,0.3,90.7,12%,14.8
2025,11435,Emanuel Wilson,RB,26.6,GB,49,49,47,94.5,87,79.5,17,17,2,1000,298,1,0.0%,0,0,0,0,0,0,0.00,496,0,0,0,0.00,0.00,15,-34,1,5,0,17,133,99,6.6,5.8,125,6,29,595,3,397,496,3.97,29.8%,28,3.17,0.224,32,0.541,37,142,0.261,2.2,NA,3.5%,NA,0,NA,NA,NA,NA,NA,NA,0,595,NA,NA,35.0,0.0,29.2,5.8,35.0,0.0,-0.7,86.6,12%,17.4
2025,11583,Jonathon Brooks,RB,22.4,CAR,604,604,604,0,0,0,17,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,#N/A,0.0,0.0,0.0,NA,NA
2025,11610,Malik Washington,WR,24.9,MIA,54,57,57,116.7,93.7,70.7,17,17,6,927,523,1,0.0%,0,0,0,0,0,0,0.00,110,0,0,0,0.00,0.00,46,64,1,13,3,65,253,317,6.9,4.9,17,2,4,427,1,0,110,6.47,56.4%,NA,NA,NA,5,NA,21,82,0.256,1.2,342,13.6%,0.93,0,NA,NA,NA,NA,NA,0.038,0,427,NA,NA,25.1,0.0,6.5,18.6,NA,0.0,-1.0,133.6,6%,11.9
2025,10444,Cedric Tillman,WR,25.6,CLE,98,98,98,60,49.5,39,17,13,10,768,475,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,21,208,1,11,2,39,62,270,12.9,6.9,0,0,0,270,0,0,0,0,61.8%,NA,NA,NA,0,NA,13,39,0.333,1.0,302,7.0%,0.89,0,NA,NA,NA,NA,NA,0.036,0,270,NA,NA,20.8,0.0,0.0,20.8,NA,0.0,-2.3,93.9,8%,11.5
2025,12503,Isaiah Bond,WR,21.7,CLE,104,103,101,54.7,45.7,36.7,16,16,2,958,466,0,0.0%,0,0,0,0,0,0,0.00,29,0,0,0,0.00,0.00,18,259,3,11,0,44,79,338,18.8,7.7,5,0,1,367,0,0,29,5.8,48.6%,NA,NA,NA,1,NA,12,49,0.245,0.8,323,7.9%,1.05,0,NA,NA,NA,NA,NA,0.034,0,367,NA,NA,22.9,0.0,1.8,21.1,NA,0.0,-1.4,70.2,0%,9.2
2025,7591,Justin Fields,QB,26.8,NYJ,28,28,28,143.66,143.66,143.66,13,9,9,677,501,4,62.7%,676,204,128,51,76,1,89.48,1642,27,7,1259,6.17,9.84,0,0,0,0,0,1,0,0,0.0,0.0,71,3,22,383,4,0,383,5.39,74.0%,NA,NA,NA,26,NA,84,276,0.304,9.3,NA,NA,NA,58,28.4%,2.93,6.9%,46.5%,6.8,NA,260,1642,-1.7%,-0.13,182.4,139.9,42.6,0.0,NA,0.0,-4.4,183.2,56%,27.5
2025,9229,Anthony Richardson,QB,23.6,IND,68,70,71,2.16,1.66,1.16,16,2,0,328,14,0,50.0%,2,2,1,1,1,0,62.50,8,0,0,9,4.50,9.00,1,2,0,1,0,1,7,9,9.0,9.0,4,0,1,8,0,0,-1,-0.25,4.3%,NA,NA,NA,1,NA,3,7,0.429,1.5,NA,NA,NA,1,50.0%,2.31,0.0%,0.0%,5.7,NA,2,17,-31.1%,-0.74,8.5,4.5,-0.5,4.5,NA,0.0,0.0,0.0,NA,NA
2025,11571,Isaiah Davis,RB,23.8,NYJ,59,58,61,71.2,60.7,50.2,17,16,0,999,285,0,0.0%,0,0,0,0,0,0,0.00,236,0,0,0,0.00,0.00,21,5,1,8,0,28,181,186,8.9,6.6,43,2,6,422,1,170,236,5.49,28.5%,11,3.96,0.256,7,0.651,15,71,0.211,0.9,NA,5.7%,NA,0,NA,NA,NA,NA,NA,NA,0,422,NA,NA,26.4,0.0,14.8,11.6,91.0,0.0,-0.3,82.3,13%,13.8
2025,12483,Jack Bech,WR,23.0,LV,120,123,127,42.4,32.4,22.4,16,15,5,872,307,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,20,156,1,11,0,29,68,224,11.2,7.7,0,0,0,224,0,0,0,0,35.2%,NA,NA,NA,0,NA,11,29,0.379,0.7,164,5.6%,1.37,0,NA,NA,NA,NA,NA,0.067,0,224,NA,NA,14.9,0.0,0.0,14.9,NA,0.0,-1.6,70.1,0%,7.7
2025,5001,Dalton Schultz,TE,29.4,HOU,10,11,13,177.7,136.7,95.7,17,17,6,1092,789,1,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,82,419,2,36,3,106,358,777,9.5,7.3,0,0,0,777,0,0,0,0,72.3%,NA,NA,NA,0,NA,39,106,0.368,2.3,463,18.2%,1.68,0,NA,NA,NA,NA,NA,0.078,0,777,NA,NA,45.7,0.0,0.0,45.7,NA,0.0,2.4,146.9,53%,19.6
2025,10219,Chris Rodriguez,RB,25.2,WAS,51,45,45,92,90.5,89,13,12,7,741,226,0,0.0%,0,0,0,0,0,0,0.00,500,0,0,0,0.00,0.00,3,4,0,1,0,4,26,30,10.0,7.5,112,11,26,530,6,442,500,4.46,30.5%,30,3.95,0.268,32,0.663,33,116,0.284,2.8,NA,0.9%,NA,0,NA,NA,NA,NA,NA,NA,0,530,NA,NA,44.2,0.0,41.7,2.5,128.0,0.0,-0.6,100.9,25%,13.9
2025,9757,Kendre Miller,RB,23.5,NO,77,73,72,33.3,30.8,28.3,17,7,0,464,113,0,0.0%,0,0,0,0,0,0,0.00,193,0,0,0,0.00,0.00,5,-5,0,1,0,5,35,30,6.0,6.0,47,7,8,223,1,186,193,4.11,24.4%,22,3.95,0.468,9,0.863,10,52,0.192,1.4,NA,0.8%,NA,0,NA,NA,NA,NA,NA,NA,0,223,NA,NA,31.9,0.0,27.6,4.3,24.0,0.0,-0.4,36.1,14%,8.0
2025,12502,Gunnar Helm,TE,23.2,TEN,31,33,34,91.7,69.7,47.7,16,16,10,1002,533,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,44,198,2,15,2,55,159,357,8.1,6.5,0,0,0,357,0,0,0,0,53.2%,NA,NA,NA,0,NA,17,55,0.309,1.1,237,9.6%,1.51,0,NA,NA,NA,NA,NA,0.063,0,357,NA,NA,22.3,0.0,0.0,22.3,NA,0.0,0.6,78.2,13%,12.1
2025,7090,Darnell Mooney,WR,28.1,ATL,79,80,80,82.3,66.3,50.3,15,15,15,887,726,2,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,32,370,5,24,1,72,73,443,13.8,6.2,0,0,0,443,0,0,0,0,81.8%,NA,NA,NA,0,NA,25,72,0.347,1.7,444,13.2%,1.00,0,NA,NA,NA,NA,NA,0.054,0,443,NA,NA,29.5,0.0,0.0,29.5,NA,0.0,-4.4,138.0,7%,11.5
