SZN,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,1DRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,DB,YDS(t),CPOE,EPA/DB,YPG(t),paYPG,ruYPG,RYOE,ExplRu%,recYPG,AY/Tgt,AY%,RZ Tgt,10+ Tgt,Quick Tgt,EZ Tgt,FPOE(t),FPOE,PROJ,CSTY%,CL
2025,96,Aaron Rodgers,QB,42.0,PIT,18,PLACEHOLDER,PLACEHOLDER,18,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,7,16,26,11,10,21,43,11,14,16,20,13,15,28,29,NA,NA,NA,NA,NA,NA,NA,NA,34,34,34,31,42,34,22,NA,37,NA,20,NA,NA,NA,41,NA,NA,NA,40,36,NA,NA,NA,NA,20,32,1,28,1,36,14,16,23,21,27,21,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,31,14,25,23
2025,7528,Najee Harris,RB,27.8,LAC,NA,PLACEHOLDER,PLACEHOLDER,NA,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,10,1,72,45,90,89,84,NA,NA,93,85,90,NA,78,85,89,NA,NA,88,NA,NA,92,NA,86,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,11562,Spencer Rattler,QB,25.2,NO,36,PLACEHOLDER,PLACEHOLDER,36,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,7,7,32,32,29,34,20,3,29,33,7,34,34,33,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,5,13,24,36,NA,24,NA,40,NA,NA,NA,14,NA,NA,NA,35,21,NA,NA,NA,NA,34,31,3,10,32,17,30,33,11,31,26,24,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,37,32,37
2025,11569,Jarquez Hunter,RB,22.9,LAR,NA,PLACEHOLDER,PLACEHOLDER,NA,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,2306,Jameis Winston,QB,31.9,NYG,41,PLACEHOLDER,PLACEHOLDER,41,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,49,50,46,9,NA,NA,46,NA,47,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,31,46,NA,22,NA,48,NA,42,NA,NA,NA,45,NA,NA,NA,3,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,46,NA,NA,29,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,40,41,NA,NA
2025,11557,Joe Milton,QB,25.8,DAL,NA,PLACEHOLDER,PLACEHOLDER,NA,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,31,49,NA,36,NA,41,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,11577,Will Shipley,RB,23.3,PHI,NA,PLACEHOLDER,PLACEHOLDER,NA,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,30,1,63,45,69,70,68,NA,NA,94,85,83,NA,78,92,92,NA,NA,93,NA,NA,85,NA,80,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,74
2025,11199,Emari Demercado,RB,26.9,ARI,NA,PLACEHOLDER,PLACEHOLDER,NA,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,7,34,63,26,53,63,54,NA,NA,67,65,66,NA,78,61,56,NA,NA,65,NA,NA,67,NA,69,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,63
2025,1339,Zach Ertz,TE,35.1,WAS,19,PLACEHOLDER,PLACEHOLDER,19,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,9,65,20,19,17,43,21,17,22,NA,NA,NA,21,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,19,20,37,19,18,13,29,29,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,18,NA,14,NA,NA,18,3,5,26,8,12,15,35,37,23,17,20
2025,2307,Marcus Mariota,QB,32.1,WAS,32,PLACEHOLDER,PLACEHOLDER,32,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,17,29,30,34,34,32,23,11,30,30,4,30,32,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,31,24,13,22,NA,13,4,36,NA,NA,NA,24,NA,NA,NA,24,39,NA,NA,NA,NA,33,15,19,1,9,1,34,30,8,25,39,35,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,28,30,24,32
