WK,SZN,SLPR_ID,PLAYER NAME,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
1,1,6804,Jordan Love,QB,26.9,GB,18.0,18,17,15.92,15.92,15.92,1,1,1,48,48,0,72.7%,149,22,16,6,6,0,128.60,192,0,2,188,8.55,11.75,0,0,0,0,0,0,0,0,0.0,0.0,3,0,1,4,0,NA,4,1.33,100.0%,NA,NA,NA,1,NA,9,25,NA,NA,NA,NA,NA,8,36.4%,2.84,13.6%,34.8%,10.1,NA,23,192,vs DET,11,·,20.0,-4.1
1,1,11563,Bo Nix,QB,25.6,DEN,27.0,27,27,8.84,8.84,8.84,1,1,1,76,76,1,62.5%,82,40,25,8,15,2,60.00,194,1,1,176,4.40,7.04,0,0,0,0,0,0,0,0,0.0,0.0,8,0,2,18,0,NA,18,2.25,100.0%,NA,NA,NA,2,NA,11,48,NA,NA,NA,NA,NA,9,22.5%,2.83,7.5%,18.6%,6.0,NA,43,194,vs TEN,23,·,20.3,-11.5
1,1,12526,Tetairoa McMillan,WR,22.4,CAR,30.0,31,31,11.8,9.3,6.8,1,1,1,64,53,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,56,0,4,0,9,12,68,13.6,7.6,0,0,0,68,0,NA,0,0,83.0%,NA,NA,NA,0,NA,4,9,0.444,4.0,32,25.7%,2.13,0,NA,NA,NA,NA,NA,0.125,NA,68,@ JAX,24,·,14.9,-3.1
1,1,12507,Omarion Hampton,RB,22.5,LAC,32.0,33,32,8.1,7.1,6.1,1,1,1,65,52,0,0.0%,0,0,0,0,0,0,0.00,48,0,0,0,0.00,0.00,2,-4,0,0,0,2,17,13,6.5,6.5,15,3,4,61,0,42,48,3.2,80.0%,5,2.80,0.333,4,0.613,4,17,0.235,4.0,NA,5.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,61,vs KC,22,OUT,14.4,-6.3
1,1,11628,Marvin Harrison Jr.,WR,23.1,ARI,12.0,10,8,18.1,15.6,13.1,1,1,1,66,59,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,53,0,2,1,6,18,71,14.2,11.8,0,0,0,71,0,NA,0,0,89.0%,NA,NA,NA,0,NA,3,6,0.500,3.0,32,20.7%,2.22,0,NA,NA,NA,NA,NA,0.063,NA,71,@ NO,19,·,12.2,5.9
1,1,6813,Jonathan Taylor,RB,26.6,IND,23.0,22,23,12.8,11.3,9.8,1,1,1,73,52,0,0.0%,0,0,0,0,0,0,0.00,71,0,0,0,0.00,0.00,3,-2,0,2,0,3,29,27,9.0,9.0,18,0,3,98,0,50,71,3.94,71.0%,4,2.80,0.222,3,0.502,5,21,0.238,5.0,NA,10.3%,NA,0,NA,NA,NA,NA,NA,NA,NA,98,vs MIA,4,·,18.0,-5.2
1,1,8146,Garrett Wilson,WR,25.2,NYJ,7.0,6,6,22.5,19,15.5,1,1,1,64,64,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,78,0,3,1,9,17,95,13.6,10.6,0,0,0,95,0,NA,0,0,100.0%,NA,NA,NA,0,NA,4,9,0.444,4.0,23,40.9%,4.13,0,NA,NA,NA,NA,NA,0.130,NA,95,vs PIT,22,·,14.2,8.3
1,1,12518,Tyler Warren,TE,23.3,IND,3.0,5,8,14.9,11.4,7.9,1,1,1,73,53,0,0.0%,0,0,0,0,0,0,0.00,3,0,0,0,0.00,0.00,7,40,0,4,0,9,36,76,10.9,8.4,1,0,1,79,0,NA,3,3,73.0%,NA,NA,NA,1,NA,5,10,0.500,5.0,20,31.0%,3.80,0,NA,NA,NA,NA,NA,0.200,NA,79,vs MIA,6,·,9.2,5.7
1,1,12529,TreVeyon Henderson,RB,22.9,NE,25.0,26,35,11.1,8.1,5.1,1,1,0,71,25,0,0.0%,0,0,0,0,0,0,0.00,27,0,0,0,0.00,0.00,6,-19,0,0,0,6,43,24,4.0,4.0,5,0,1,51,0,7,27,5.4,35.0%,1,1.40,0.200,1,0.340,1,11,0.091,1.0,NA,13.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,51,vs LV,10,·,13.7,-2.6
1,1,11560,Caleb Williams,QB,23.8,CHI,9.0,9,9,24.2,24.2,24.2,1,1,1,67,67,0,60.0%,133,35,21,9,14,0,86.60,268,2,1,210,6.00,10.00,0,0,0,0,0,0,0,0,0.0,0.0,6,0,3,58,1,NA,58,9.67,100.0%,NA,NA,NA,4,NA,14,41,NA,NA,NA,NA,NA,10,28.6%,3.04,11.4%,34.9%,7.6,NA,43,268,vs MIN,28,·,17.9,6.3
