SLPR_ID,PFF_ID,PLAYER,POS,CFB,HT,WT,40dsh,OVR-RK,POS-RK,GRD,TIER,Gs,tYDS,tTD,OPP,IMP/OPP,REC%,1D,REC,TGT,recTD,recYDS,1D/tgt,YPR,FUM,RR,YPRR,1DRR,TGT%,IMP/RR,tgtQBR,YAC,CTST%,DROP%,AY,CAR,ruYDS,ruTD,ru1D
13435,52545,Joe Royer,TE,CINCINNATI,"6'5""",247 lbs,--,NR,NR,NR,NR,34,962,7,115,0.48,72.2%,48,83,115,7,962,0.42,11.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
13432,145087,Khalil Dinkins,TE,PENN STATE,"6'4""",251 lbs,4.72,NR,NR,NR,NR,45,399,7,54,0.54,68.5%,22,37,54,7,399,0.41,10.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
13431,163599,Miles Kitselman,TE,TENNESSEE,"6'5""",251 lbs,4.9,NR,NR,NR,NR,27,586,7,74,0.57,71.8%,33,51,71,6,583,0.46,11.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2
13430,127250,RJ Maryland,TE,SMU,"6'4""",236 lbs,4.51,NR,NR,NR,NR,46,1493,19,166,0.55,68.1%,73,113,166,19,1493,0.44,13.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
13429,147046,Seydou Traore,TE,MISS STATE,NA,NA lbs,NA,NR,NR,NR,NR,49,1459,10,181,0.44,71.8%,70,130,181,10,1459,0.39,11.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
13422,158070,Jaren Kanak,TE,OKLAHOMA,"6'2""",234 lbs,4.52,NR,NR,NR,NR,13,530,0,57,0.37,77.2%,21,44,57,0,530,0.37,12.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
13421,156970,Eli Raridon,TE,NOTRE DAME,"6'6""",245 lbs,4.62,NR,NR,NR,NR,37,623,3,66,0.48,72.7%,29,48,66,3,623,0.44,13.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
13408,156895,Tanner Koziol,TE,HOUSTON,"6'7""",247 lbs,4.7,NR,NR,NR,NR,49,2242,24,338,0.47,70.3%,136,237,337,24,2236,0.40,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0,0
13357,127157,Lance Mason,TE,WISCONSIN,NA,NA lbs,NA,NR,NR,NR,NR,12,405,4,50,0.50,61.2%,20,30,49,4,398,0.41,13.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,1
13355,144696,DJ Rogers,TE,TCU,"6'4""",258 lbs,--,NR,NR,NR,NR,35,539,5,67,0.52,79.1%,30,53,67,5,539,0.45,10.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
13342,150698,John Michael Gyllenborg,TE,WYOMING,"6'6""",249 lbs,4.6,NR,NR,NR,NR,34,1029,7,124,0.46,65.3%,50,81,124,7,1029,0.40,12.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
13331,157645,DaeQuan Wright,TE,OLE MISS,"6'4""",246 lbs,--,NR,NR,NR,NR,47,1605,9,169,0.51,67.3%,77,113,168,9,1603,0.46,14.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1
13324,129581,Matthew Hibner,TE,SMU,"6'4""",251 lbs,4.57,NR,NR,NR,NR,33,819,8,80,0.53,71.3%,34,57,80,8,819,0.43,14.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
13322,157270,Sam Roush,TE,STANFORD,"6'6""",267 lbs,4.7,NR,NR,NR,NR,48,1203,4,178,0.31,67.2%,51,119,177,4,1202,0.29,10.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
13321,129602,Dan Villari,TE,SYRACUSE,NA,NA lbs,NA,NR,NR,NR,NR,40,1075,7,178,0.36,70.2%,29,66,94,3,665,0.31,10.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,410,4,28
13312,163777,Josh Kattus,TE,KENTUCKY,NA,NA lbs,NA,NR,NR,NR,NR,43,505,6,60,0.53,63.3%,26,38,60,6,505,0.43,13.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
13308,150160,Bauer Sharp,TE,LSU,"6'5""",249 lbs,4.63,NR,NR,NR,NR,25,567,4,87,0.33,76.7%,25,66,86,4,572,0.29,8.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5,0,0
13307,162818,Marlin Klein,TE,MICHIGAN,"6'6""",248 lbs,4.61,NR,NR,NR,NR,28,364,1,64,0.25,59.4%,15,38,64,1,364,0.23,9.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
13299,129676,Nate Boerkircher,TE,TEXAS A&M,"6'6""",245 lbs,--,NR,NR,NR,NR,50,433,5,52,0.62,79.2%,23,38,48,4,417,0.48,11.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,16,1,4
13292,146418,Lake McRee,TE,USC,"6'4""",243 lbs,--,NR,NR,NR,NR,51,1142,7,138,0.43,70.8%,53,97,137,7,1142,0.39,11.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
13280,144230,Chamon Metayer,TE,ARIZONA ST,NA,NA lbs,NA,NR,NR,NR,NR,41,999,14,136,0.45,70.1%,46,94,134,14,971,0.34,10.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,0,1
13273,147570,Josh Cuevas,TE,ALABAMA,"6'3""",245 lbs,4.65,NR,NR,NR,NR,40,800,6,73,0.59,79.2%,37,57,72,6,793,0.51,13.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,0
