WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CPOE,EPA/DB,VS,vsRK,INJ,PROJ,FPOE
14,2197,Brandin Cooks,WR,32.0,NO,999.0,999,999,0,0,0,1,1,0,64,23,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,36.0%,NA,NA,NA,0,NA,0,0,NA,0.0,15,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,@ TB,11,·,3.8,-3.8
14,1837,Jimmy Garoppolo,QB,33.9,LAR,33.0,33,33,-0.4,-0.4,-0.4,1,1,0,70,12,0,0.0,0,0,0,0,0,0,0.00,-4,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,3,0,0,-4,0,NA,-4,-1.33,17.0%,NA,NA,NA,0,NA,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,@ ARI,23,·,·,·
14,8135,Treylon Burks,WR,25.5,WAS,999.0,999,999,0,0,0,1,1,0,52,19,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,37.0%,NA,NA,NA,0,NA,0,1,0.000,0.0,8,4.2%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,@ MIN,31,·,4.5,-4.5
14,11636,Johnny Wilson,WR,24.5,PHI,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ LAC,32,IR,IR,IR
14,5185,Allen Lazard,WR,29.8,NYJ,999.0,999,999,0,0,0,1,1,0,58,9,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,16.0%,NA,NA,NA,0,NA,0,1,0.000,0.0,9,2.9%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,vs MIA,25,·,2.7,-2.7
14,9505,Deuce Vaughn,RB,23.9,DEN,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ LV,12,·,·,·
14,5973,Josh Oliver,TE,28.5,MIN,4.0,3,3,16.4,15.4,14.4,1,1,0,64,40,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,18,0,0,2,2,6,24,12.0,12.0,0,0,0,24,0,NA,0,0,63.0%,NA,NA,NA,0,NA,2,2,1.000,2.0,8,8.7%,3.00,0,NA,NA,NA,NA,NA,0.000,NA,24,NA,NA,vs WAS,7,·,2.2,14.2
14,7593,Trey Sermon,RB,26.7,PIT,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ BAL,13,·,·,·
14,5938,Lil'Jordan Humphrey,WR,27.4,NYG,54.0,55,58,5.7,4.2,2.7,1,1,0,74,28,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,16,0,2,0,3,11,27,9.0,9.0,0,0,0,27,0,NA,0,0,38.0%,NA,NA,NA,0,NA,2,3,0.667,2.0,9,7.9%,3.00,0,NA,NA,NA,NA,NA,0.222,NA,27,NA,NA,BYE,BYE,BYE,BYE,BYE
14,10216,Kenny McIntosh,RB,25.6,SEA,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ ATL,10,IR,IR,IR
