SZN,SLPR_ID,PLAYER NAME,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
3,11563,Bo Nix,QB,25.6,DEN,19.0,19,19,13.42,13.42,13.42,1,1,1,52,52,0,56.0%,69,25,14,4,11,0,87.60,186,2,1,153,6.12,10.93,0,0,0,0,0,0,0,0,0.0,0.0,8,0,0,33,0,NA,33,4.13,100.0%,NA,NA,NA,0,NA,5,33,NA,NA,NA,NA,NA,5,20.0%,2.75,16.0%,43.8%,10.2,NA,32,186,@ LAC,18,·,20.2,-6.8
3,11620,Rome Odunze,WR,23.3,CHI,20.0,18,15,15.2,13.7,12.2,1,1,1,59,53,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,39,0,2,1,7,23,62,20.7,8.9,0,0,0,62,0,NA,0,0,90.0%,NA,NA,NA,0,NA,3,7,0.429,3.0,26,25.0%,2.38,0,NA,NA,NA,NA,NA,0.077,NA,62,vs DAL,1,·,14.4,0.8
3,12518,Tyler Warren,TE,23.3,IND,23.0,23,22,6.8,5.3,3.8,1,1,1,57,39,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,-2,1,2,0,5,40,38,12.7,7.6,0,0,0,38,0,NA,0,0,68.0%,NA,NA,NA,0,NA,2,5,0.400,2.0,22,20.0%,1.73,0,NA,NA,NA,NA,NA,0.091,NA,38,@ TEN,22,·,11.8,-5.0
3,8138,James Cook,RB,26.0,BUF,8.0,7,7,20.8,19.3,17.8,1,1,1,60,40,0,0.0%,0,0,0,0,0,0,0.00,108,0,0,0,0.00,0.00,3,5,0,0,0,3,5,10,3.3,3.3,19,5,5,118,1,95,108,5.68,67.0%,5,5.00,0.263,6,0.763,6,22,0.273,6.0,NA,10.7%,NA,0,NA,NA,NA,NA,NA,NA,NA,118,vs MIA,4,·,16.3,4.5
3,8146,Garrett Wilson,WR,25.2,NYJ,2.0,4,8,24.4,19.4,14.4,1,1,1,69,69,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,10,50,0,3,1,13,34,84,8.4,6.5,0,0,0,84,0,NA,0,0,100.0%,NA,NA,NA,0,NA,4,13,0.308,4.0,39,36.1%,2.15,0,NA,NA,NA,NA,NA,0.077,NA,84,@ TB,16,·,16.4,8.0
3,12507,Omarion Hampton,RB,22.5,LAC,4.0,5,5,24.9,21.9,18.9,1,1,1,86,68,1,0.0%,0,0,0,0,0,0,0.00,70,0,0,0,0.00,0.00,6,0,0,3,0,7,59,59,9.8,8.4,19,1,3,129,1,57,70,3.68,79.0%,5,3.00,0.263,4,0.563,7,26,0.269,7.0,NA,14.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,129,vs DEN,19,OUT,11.4,13.5
3,11628,Marvin Harrison Jr.,WR,23.1,ARI,51.0,50,45,7.4,5.9,4.4,1,1,1,66,53,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,37,1,2,0,6,7,44,14.7,7.3,0,0,0,44,0,NA,0,0,80.0%,NA,NA,NA,0,NA,2,6,0.333,2.0,35,17.1%,1.26,0,NA,NA,NA,NA,NA,0.057,NA,44,@ SF,18,·,13.1,-5.7
3,4892,Baker Mayfield,QB,30.4,TB,8.0,8,8,17.72,17.72,17.72,1,1,1,72,72,1,65.5%,94,29,19,11,10,0,101.70,277,1,1,233,8.03,12.26,0,0,0,0,0,0,0,0,0.0,0.0,4,1,2,44,0,NA,44,11,100.0%,NA,NA,NA,2,NA,14,33,NA,NA,NA,NA,NA,12,41.4%,2.44,13.8%,36.4%,8.9,NA,33,277,vs NYJ,6,·,20.7,-3.0
3,11560,Caleb Williams,QB,23.8,CHI,1.0,1,1,29.12,29.12,29.12,1,1,1,59,59,0,67.9%,142,28,19,7,9,0,142.60,310,0,4,298,10.64,15.68,0,0,0,0,0,0,0,0,0.0,0.0,5,0,0,12,0,NA,12,2.4,100.0%,NA,NA,NA,0,NA,11,33,NA,NA,NA,NA,NA,11,39.3%,3.20,10.7%,25.0%,8.5,NA,28,310,vs DAL,1,·,19.5,9.6
3,12529,TreVeyon Henderson,RB,22.9,NE,35.0,36,41,7.7,6.2,4.7,1,1,0,74,34,0,0.0%,0,0,0,0,0,0,0.00,28,0,0,0,0.00,0.00,3,2,0,0,0,3,17,19,6.3,6.3,11,0,2,47,0,28,28,2.55,46.0%,4,2.50,0.364,2,0.614,2,14,0.143,2.0,NA,8.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,47,vs PIT,23,·,9.8,-2.1
3,4034,Christian McCaffrey,RB,29.3,SF,6.0,8,12,24,19,14,1,1,1,65,59,0,0.0%,0,0,0,0,0,0,0.00,52,0,0,0,0.00,0.00,10,21,2,2,0,15,67,88,8.8,5.9,17,5,3,140,0,41,52,3.06,91.0%,8,2.40,0.471,3,0.711,5,32,0.156,5.0,NA,36.6%,NA,0,NA,NA,NA,NA,NA,NA,NA,140,vs ARI,12,·,24.3,-0.3
3,10229,Rashee Rice,WR,25.4,KC,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ NYG,3,SUS,SUS,SUS
3,5850,Josh Jacobs,RB,27.6,GB,19.0,23,29,12.4,9.9,7.4,1,1,1,65,43,1,0.0%,0,0,0,0,0,0,0.00,30,0,0,0,0.00,0.00,5,-15,0,2,0,9,59,44,8.8,4.9,16,0,2,74,0,34,30,1.88,66.0%,3,2.10,0.188,2,0.398,4,25,0.160,4.0,NA,36.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,74,@ CLE,28,·,17.4,-5.0
3,9758,C.J. Stroud,QB,24.0,HOU,25.0,25,25,12.36,12.36,12.36,1,1,1,63,63,0,65.8%,113,38,25,7,13,2,66.10,226,2,1,204,5.37,8.16,0,0,0,0,0,0,0,0,0.0,0.0,4,0,1,22,0,NA,22,5.5,100.0%,NA,NA,NA,1,NA,9,42,NA,NA,NA,NA,NA,8,21.1%,2.53,15.8%,32.6%,7.6,NA,43,226,@ JAX,26,·,18.7,-6.3
3,9224,Chase Brown,RB,25.5,CIN,43.0,48,59,6,4,2,1,1,1,56,31,1,0.0%,0,0,0,0,0,0,0.00,3,0,0,0,0.00,0.00,4,1,0,1,0,5,16,17,4.3,3.4,10,0,0,20,0,13,3,0.3,55.0%,0,1.30,0.000,0,0.130,1,15,0.067,1.0,NA,18.5%,NA,0,NA,NA,NA,NA,NA,NA,NA,20,@ MIN,15,·,17.0,-11.0
3,9997,Zay Flowers,WR,25.0,BAL,89.0,89,93,3.3,2.3,1.3,1,1,1,57,49,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,-1,0,1,0,3,14,13,6.5,4.3,0,0,0,13,0,NA,0,0,86.0%,NA,NA,NA,0,NA,1,3,0.333,1.0,33,10.7%,0.39,0,NA,NA,NA,NA,NA,0.030,NA,13,vs DET,6,·,17.4,-14.1
3,8183,Brock Purdy,QB,25.7,SF,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs ARI,25,OUT,OUT,OUT
3,8155,Breece Hall,RB,24.3,NYJ,31.0,32,36,9.2,7.2,5.2,1,1,1,69,38,0,0.0%,0,0,0,0,0,0,0.00,21,0,0,0,0.00,0.00,4,5,2,2,0,6,26,31,7.8,5.2,9,0,1,52,0,12,21,2.33,55.0%,2,1.30,0.222,1,0.352,3,15,0.200,3.0,NA,16.7%,NA,0,NA,NA,NA,NA,NA,NA,NA,52,@ TB,17,·,15.2,-6.0
3,12522,Cam Ward,QB,23.3,TEN,21.0,21,21,12.96,12.96,12.96,1,1,1,70,70,0,60.5%,105,38,23,10,15,1,74.30,231,4,1,219,5.76,9.52,0,0,0,0,0,0,0,0,0.0,0.0,3,0,1,12,0,NA,12,4,100.0%,NA,NA,NA,1,NA,12,41,NA,NA,NA,NA,NA,11,28.9%,2.97,2.6%,40.0%,6.2,NA,45,231,vs IND,22,·,18.6,-5.6
3,8150,Kyren Williams,RB,25.1,LAR,9.0,9,8,19.2,18.2,17.2,1,1,1,66,50,0,0.0%,0,0,0,0,0,0,0.00,94,0,0,0,0.00,0.00,2,1,0,1,1,3,17,18,9.0,6.0,20,3,7,112,0,86,94,4.7,76.0%,11,4.30,0.550,7,0.980,9,23,0.391,9.0,NA,8.8%,NA,0,NA,NA,NA,NA,NA,NA,NA,112,@ PHI,8,·,15.9,3.3
