WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CMP%OE,EPA/DB,VS,vsRK,INJ,PROJ,FPOE
18,3257,Jacoby Brissett,QB,32.8,ARI,12.0,12,12,16.62,16.62,16.62,1,1,1,0,55,1,71.0,142,31,22,10,9,1,101.90,262,6,2,243,7.84,11.05,0,0,0,0,0,0,0,0,0.0,0.0,3,0,1,19,0,NA,19,6.33,100.0%,NA,NA,NA,1,NA,13,34,NA,NA,NA,NA,NA,12,38.7%,2.88,6.5%,61.5%,7.60,NA,39,262,+10.4%,-0.13,@ LAR,19,·,18.3,-1.7
18,7608,Khalil Herbert,RB,27.4,SEA,48.0,45,39,5.6,5.1,4.6,1,1,0,0,32,0,0.0,0,0,0,0,0,0,0.00,42,0,0,0,0.00,0.00,1,-5,0,0,0,2,9,4,4.0,2.0,12,0,2,46,0,24,42,3.5,67.0%,5,2.00,0.417,2,0.617,2,14,0.143,2.0,NA,9.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,@ SF,29,·,9.0,-3.4
18,3634,Kalif Raymond,WR,31.1,DET,34.0,33,31,8.2,6.7,5.2,1,1,0,0,14,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,13,0,2,0,3,39,52,17.3,17.3,0,0,0,52,0,NA,0,0,19.0%,NA,NA,NA,0,NA,2,3,0.667,2.0,11,7.1%,4.73,0,NA,NA,NA,NA,NA,0.182,NA,52,NA,NA,@ CHI,3,·,3.4,4.8
18,6126,Irv Smith,TE,27.1,HOU,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs IND,6,Q,Q,Q
18,10857,Stetson Bennett,QB,27.9,LAR,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs ARI,18,·,·,·
18,6144,Trayveon Williams,RB,27.9,FA,61.0,60,59,3,2.5,2,1,1,0,0,11,0,0.0,0,0,0,0,0,0,0.00,7,0,0,0,0.00,0.00,1,-3,0,0,0,2,16,13,13.0,6.5,1,0,0,20,0,4,7,7,21.0%,1,3.60,1.000,0,1.360,0,3,0.000,0.0,NA,9.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,,·,4.3,-1.3
18,12473,Mitchell Evans,TE,22.5,CAR,57.0,57,54,1.5,1,0.5,1,1,1,51,23,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,-5,0,0,0,2,10,5,5.0,2.5,0,0,0,5,0,NA,0,0,45.0%,NA,NA,NA,0,NA,0,2,0.000,0.0,11,5.7%,0.45,0,NA,NA,NA,NA,NA,0.000,NA,5,NA,NA,@ TB,7,·,3.7,-2.2
18,5374,Justin Watson,WR,29.5,HOU,999.0,999,999,0,0,0,1,1,0,0,13,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,19.0%,NA,NA,NA,0,NA,0,0,NA,0.0,2,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,vs IND,4,·,3.8,-3.8
18,10223,Eric Gray,RB,25.9,NYG,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs DAL,7,·,0.2,-0.2
18,6012,Travis Homer,RB,27.1,CHI,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs DET,22,·,0.0,0.0
