WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE,TD(t)
8,8150,Kyren Williams,RB,25.1,LAR,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE,0.0
8,12481,Cam Skattebo,RB,23.6,NYG,24.0,23,23,10,9.5,9,1,1,1,52,11,0,0.0%,0,0,0,0,0,0,0.00,12,0,0,0,0.00,0.00,1,11,0,0,1,2,7,18,18.0,9.0,3,1,0,30,0,10,12,4,21.0%,0,3.20,0.000,0,0.320,1,5,0.200,1.0,NA,8.3%,NA,0,NA,NA,NA,NA,NA,NA,NA,30,@ PHI,9,OUT,13.8,-3.8,1.0
8,8155,Breece Hall,RB,24.3,NYJ,4.0,3,3,32.86,31.86,30.86,1,1,1,72,40,0,100.0%,4,1,1,0,0,0,122.90,137,0,1,4,4.00,4.00,2,-8,0,1,0,3,22,14,7.0,4.7,18,0,4,147,2,74,133,7.39,56.0%,7,4.10,0.389,6,0.799,8,22,0.364,8.0,NA,9.1%,NA,1,100.0%,NA,NA,NA,NA,NA,NA,151,@ CIN,1,·,13.7,19.2,3.0
8,9758,C.J. Stroud,QB,24.0,HOU,11.0,11,11,22.72,22.72,22.72,1,1,1,80,80,0,76.9%,172,39,30,14,9,1,106.60,348,0,2,318,8.15,10.60,0,0,0,0,0,0,0,0,0.0,0.0,7,0,4,30,0,NA,30,4.29,100.0%,NA,NA,NA,4,NA,20,46,NA,NA,NA,NA,NA,16,41.0%,2.69,10.3%,21.4%,7.7,NA,42,348,vs SF,18,·,16.9,5.8,2.0
8,8183,Brock Purdy,QB,25.8,SF,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ HOU,32,OUT,OUT,OUT,0.0
8,3294,Dak Prescott,QB,32.2,DAL,22.0,22,22,8.62,8.62,8.62,1,1,1,74,65,0,61.3%,124,31,19,9,12,2,51.50,219,2,0,188,6.06,9.89,0,0,0,0,0,0,0,0,0.0,0.0,6,0,2,31,0,NA,31,5.17,88.0%,NA,NA,NA,2,NA,11,37,NA,NA,NA,NA,NA,9,29.0%,2.46,9.7%,39.5%,7.5,NA,38,219,@ DEN,29,·,20.6,-12.0,0.0
8,5859,A.J. Brown,WR,28.2,PHI,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs NYG,3,OUT,OUT,OUT,0.0
8,12529,TreVeyon Henderson,RB,22.9,NE,38.0,34,32,5.5,5.5,5.5,1,1,0,68,14,1,0.0%,0,0,0,0,0,0,0.00,75,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,10,0,6,75,0,32,75,7.5,21.0%,5,3.20,0.500,6,0.820,6,10,0.600,6.0,NA,0.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,75,vs CLE,31,·,6.6,-1.1,0.0
8,11624,Xavier Worthy,WR,22.4,KC,39.0,41,43,10.3,7.8,5.3,1,1,1,69,58,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,14,0,2,0,7,39,53,10.6,7.6,0,0,0,53,0,NA,0,0,84.0%,NA,NA,NA,0,NA,2,7,0.286,2.0,32,20.6%,1.66,0,NA,NA,NA,NA,NA,0.063,NA,53,vs WAS,10,·,11.3,-1.0,0.0
8,10859,Sam LaPorta,TE,24.7,DET,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE,0.0
