WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CMPOE,EPA/DB,VS,vsRK,INJ,PROJ,FPOE
15,7049,Jauan Jennings,WR,28.2,SF,12.0,11,8,18.7,17.2,15.7,1,1,1,74,60,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,36,0,1,2,5,1,37,12.3,7.4,0,0,0,37,0,NA,0,0,81.1%,NA,NA,NA,0,NA,3,5,0.600,3.0,31,16.7%,1.19,0,NA,NA,NA,NA,NA,0.032,NA,37,NA,NA,vs TEN,10,·,12.3,6.4
15,5022,Dallas Goedert,TE,30.7,PHI,4.0,5,4,25,22,19,1,1,1,69,51,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,25,1,3,2,7,45,70,11.7,10.0,0,0,0,70,0,NA,0,0,73.9%,NA,NA,NA,0,NA,5,7,0.714,5.0,17,38.9%,4.12,0,NA,NA,NA,NA,NA,0.176,NA,70,NA,NA,vs LV,29,·,10.5,14.5
15,8132,Tyler Allgeier,RB,25.4,ATL,66.0,62,58,1.8,1.8,1.8,1,1,0,71,12,0,0.0,0,0,0,0,0,0,0.00,18,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,2,0,1,18,0,10,18,9,16.9%,1,5.20,0.500,1,1.020,1,2,0.500,1.0,NA,0.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,@ TB,5,·,8.1,-6.3
15,8136,Rachaad White,RB,26.7,TB,51.0,52,53,3.6,3.1,2.6,1,1,0,69,29,0,0.0,0,0,0,0,0,0,0.00,20,0,0,0,0.00,0.00,1,-4,0,0,0,1,10,6,6.0,6.0,1,0,1,26,0,22,20,20,42.0%,2,21.70,2.000,1,4.170,1,2,0.500,1.0,NA,2.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,vs ATL,11,·,6.7,-3.1
15,2449,Stefon Diggs,WR,31.8,NE,67.0,69,73,5.6,4.1,2.6,1,1,1,52,26,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,14,0,1,0,4,12,26,8.7,6.5,0,0,0,26,0,NA,0,0,50.0%,NA,NA,NA,0,NA,1,4,0.250,1.0,17,17.4%,1.53,0,NA,NA,NA,NA,NA,0.059,NA,26,NA,NA,vs BUF,18,·,13.4,-7.8
15,11576,Braelon Allen,RB,21.7,NYJ,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ JAX,28,IR,IR,IR
15,9508,Tyjae Spears,RB,24.3,TEN,47.0,47,48,5.6,4.6,3.6,1,1,0,53,22,0,0.0,0,0,0,0,0,0,0.00,34,0,0,0,0.00,0.00,2,0,0,0,0,2,2,2,1.0,1.0,3,0,3,36,0,19,34,11.33,41.5%,3,6.20,1.000,3,1.620,3,5,0.600,3.0,NA,6.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,@ SF,27,·,9.0,-3.4
15,9494,Marvin Mims,WR,23.5,DEN,52.0,55,58,7.7,5.7,3.7,1,1,0,68,21,0,0.0,0,0,0,0,0,0,0.00,8,0,0,0,0.00,0.00,4,4,0,2,0,6,25,29,7.3,4.8,1,0,0,37,0,NA,8,8,30.9%,NA,NA,NA,0,NA,2,7,0.286,2.0,13,17.6%,2.23,0,NA,NA,NA,NA,NA,0.154,NA,37,NA,NA,vs GB,21,·,7.5,0.2
15,9757,Kendre Miller,RB,23.3,NO,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs CAR,10,IR,IR,IR
15,12509,Tre Harris,WR,23.6,LAC,51.0,48,49,7.9,6.4,4.9,1,1,1,66,56,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,41,0,1,0,5,8,49,16.3,9.8,0,0,0,49,0,NA,0,0,84.8%,NA,NA,NA,0,NA,1,5,0.200,1.0,28,17.2%,1.75,0,NA,NA,NA,NA,NA,0.036,NA,49,NA,NA,@ KC,19,·,4.8,3.1
15,12521,Elijah Arroyo,TE,22.5,SEA,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs IND,8,IR,IR,IR
15,12469,Dylan Sampson,RB,21.0,CLE,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ CHI,16,OUT,OUT,OUT
15,11562,Spencer Rattler,QB,25.0,NO,999.0,999,999,0,0,0,1,1,0,69,1,0,0.0,0,1,0,0,1,0,39.60,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,1.4%,NA,NA,NA,0,NA,0,1,NA,NA,NA,NA,NA,0,0.0%,2.02,0.0%,0.0%,0.00,NA,1,0,0.0%,-0.08,vs CAR,25,·,·,·
15,11586,Blake Corum,RB,24.8,LAR,21.0,16,14,13.1,13.1,13.1,1,1,0,72,33,0,0.0,0,0,0,0,0,0,0.00,71,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,11,0,3,71,1,33,71,6.45,45.8%,0,3.00,0.000,4,0.300,4,11,0.364,4.0,NA,0.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,vs DET,31,·,8.0,5.1
15,11618,Jalen McMillan,WR,23.8,TB,63.0,60,57,5.8,4.8,3.8,1,1,1,69,32,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,35,0,2,0,2,3,38,19.0,19.0,0,0,0,38,0,NA,0,0,46.4%,NA,NA,NA,0,NA,2,2,1.000,2.0,20,5.9%,1.90,0,NA,NA,NA,NA,NA,0.100,NA,38,NA,NA,vs ATL,3,·,1.3,4.5
15,7611,Rhamondre Stevenson,RB,27.6,NE,26.0,29,31,10.7,9.2,7.7,1,1,1,52,35,0,0.0,0,0,0,0,0,0,0.00,50,0,0,0,0.00,0.00,3,3,0,1,0,3,24,27,9.0,9.0,6,0,4,77,0,52,50,8.33,67.3%,2,8.70,0.333,4,1.203,5,9,0.556,5.0,NA,13.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,vs BUF,7,·,8.6,2.1
15,12510,Jalen Milroe,QB,22.8,SEA,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs IND,17,OUT,OUT,OUT
15,8205,Isiah Pacheco,RB,26.6,KC,64.0,60,55,2.1,2.1,2.1,1,1,1,61,28,0,0.0,0,0,0,0,0,0,0.00,21,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,11,0,1,21,0,26,21,1.91,45.9%,0,2.40,0.000,1,0.240,1,11,0.091,1.0,NA,0.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,vs LAC,19,·,5.6,-3.5
15,10444,Cedric Tillman,WR,25.4,CLE,999.0,999,999,0,0,0,1,1,0,57,7,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,12.3%,NA,NA,NA,0,NA,0,0,NA,0.0,1,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,@ CHI,4,·,7.2,-7.2
15,11646,Jalen Coker,WR,23.9,CAR,25.0,24,25,14,12,10,1,1,0,57,39,1,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,58,0,2,1,4,2,60,15.0,15.0,0,0,0,60,0,NA,0,0,68.4%,NA,NA,NA,0,NA,3,4,0.750,3.0,27,16.7%,2.22,0,NA,NA,NA,NA,NA,0.074,NA,60,NA,NA,@ NO,22,·,7.5,6.5
15,12536,Jaylin Noel,WR,23.1,HOU,999.0,999,999,0,0,0,1,1,0,67,11,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,16.4%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs ARI,17,·,2.9,-2.9
15,12541,Dont'e Thornton,WR,22.8,LV,999.0,999,999,0,0,0,1,1,0,42,8,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,19.0%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ PHI,20,·,2.2,-2.2
15,3214,Hunter Henry,TE,30.8,NE,47.0,45,40,2.8,2.3,1.8,1,1,1,52,45,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,15,1,1,0,3,3,18,18.0,6.0,0,0,0,18,0,NA,0,0,86.5%,NA,NA,NA,0,NA,1,3,0.333,1.0,22,13.0%,0.82,0,NA,NA,NA,NA,NA,0.045,NA,18,NA,NA,vs BUF,32,·,9.6,-6.8
15,12534,Kyle Monangai,RB,23.3,CHI,52.0,50,49,3.3,3.3,3.3,1,1,0,66,28,0,0.0,0,0,0,0,0,0,0.00,33,0,0,0,0.00,0.00,0,0,2,0,0,2,0,0,0.0,0.0,11,0,1,33,0,32,33,3,42.4%,0,2.90,0.000,1,0.290,1,13,0.077,1.0,NA,7.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,vs CLE,21,·,9.9,-6.6
15,12486,Dillon Gabriel,QB,24.8,CLE,999.0,999,999,0,0,0,1,0,0,57,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ CHI,8,·,·,·
15,7090,Darnell Mooney,WR,27.9,ATL,57.0,57,62,6.5,5,3.5,1,1,1,71,65,1,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,20,0,3,0,6,15,35,11.7,5.8,0,0,0,35,0,NA,0,0,91.5%,NA,NA,NA,0,NA,3,6,0.500,3.0,42,13.6%,0.83,0,NA,NA,NA,NA,NA,0.071,NA,35,NA,NA,@ TB,13,·,9.3,-2.8
