WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
10,6786,CeeDee Lamb,WR,26.5,DAL,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
10,11632,Malik Nabers,WR,22.2,NYG,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ CHI,2,IR,IR,IR
10,11564,Drake Maye,QB,23.1,NE,11.0,11,11,19.1,19.1,19.1,1,1,1,61,61,0,51.6,136,31,16,7,15,1,89.40,283,1,2,270,8.71,16.88,0,0,0,0,0,0,0,0,0.0,0.0,7,0,0,13,0,NA,13,1.86,100.0%,NA,NA,NA,0,NA,9,38,NA,NA,NA,NA,NA,9,29.0%,3.17,19.4%,47.2%,11.90,NA,36.00,283,@ TB,19,·,23.0,-3.9
10,12514,Emeka Egbuka,WR,23.0,TB,3.0,4,4,23.5,20.5,17.5,1,1,1,69,61,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,74,1,4,1,13,41,115,19.2,8.9,0,0,0,115,0,NA,0,0,88.4%,NA,NA,NA,0,NA,5,13,0.385,5.0,43,30.2%,2.67,0,NA,NA,NA,NA,NA,0.093,NA,115,vs NE,15,·,14.8,8.7
10,11604,Brock Bowers,TE,22.8,LV,31.0,29,27,3.7,3.2,2.7,1,1,0,60,50,0,0.0,0,0,0,0,0,0,0.00,-4,0,0,0,0.00,0.00,1,15,1,1,0,3,16,31,31.0,10.3,1,0,0,27,0,NA,-4,-4,83.3%,NA,NA,NA,0,NA,1,4,0.250,1.0,26,11.1%,1.19,0,NA,NA,NA,NA,NA,0.038,NA,27,@ DEN,23,·,16.0,-12.3
10,6904,Jalen Hurts,QB,27.1,PHI,19.0,19,19,12.02,12.02,12.02,1,1,1,63,63,1,57.7,91,26,15,7,11,0,92.30,210,0,1,183,7.04,12.20,0,0,0,0,0,0,0,0,0.0,0.0,5,0,1,27,0,NA,27,5.4,100.0%,NA,NA,NA,1,NA,9,31,NA,NA,NA,NA,NA,8,30.8%,3.40,7.7%,20.0%,7.80,NA,30.00,210,@ GB,24,·,22.6,-10.6
10,12527,Ashton Jeanty,RB,21.8,LV,14.0,14,14,15.3,13.8,12.3,1,1,1,60,52,1,0.0,0,0,0,0,0,0,0.00,60,0,0,0,0.00,0.00,3,-16,1,0,0,5,19,3,1.0,0.6,19,1,2,63,1,51,60,3.16,86.7%,7,2.70,0.368,3,0.638,3,24,0.125,3.0,NA,18.5%,NA,0,NA,NA,NA,NA,NA,NA,NA,63,@ DEN,26,·,14.5,0.8
10,6797,Justin Herbert,QB,27.6,LAC,17.0,17,17,14.7,14.7,14.7,1,1,1,73,73,0,60.6,41,33,20,6,13,0,90.50,239,5,1,220,6.67,11.00,0,0,0,0,0,0,0,0,0.0,0.0,5,0,2,19,0,NA,19,3.8,100.0%,NA,NA,NA,2,NA,9,38,NA,NA,NA,NA,NA,7,21.2%,2.21,6.1%,30.0%,4.90,NA,40.00,239,vs PIT,5,·,20.9,-6.2
10,6813,Jonathan Taylor,RB,26.7,IND,1.0,1,1,49.6,48.1,46.6,1,1,1,77,70,1,0.0,0,0,0,0,0,0,0.00,244,0,0,0,0.00,0.00,3,-4,0,2,0,3,46,42,14.0,14.0,32,1,8,286,3,227,244,7.63,90.9%,11,7.10,0.344,11,1.054,13,35,0.371,13.0,NA,11.5%,NA,0,NA,NA,NA,NA,NA,NA,NA,286,vs ATL,10,·,22.7,26.9
10,8112,Drake London,WR,24.2,ATL,1.0,1,2,24.4,21.4,18.4,1,1,1,63,62,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,80,0,5,1,8,24,104,17.3,13.0,0,0,0,104,0,NA,0,0,98.4%,NA,NA,NA,0,NA,6,8,0.750,6.0,30,28.6%,3.47,0,NA,NA,NA,NA,NA,0.167,NA,104,@ IND,9,·,16.3,8.1
